Chez Scheme Version 10.3.0
Copyright 1984-2025 Cisco Systems, Inc.

codepoint,char
U+0061,a
U+0062,b
U+0063,c
U+0064,d
U+0065,e
U+0066,f
U+0067,g
U+0068,h
U+0069,i
U+006A,j
U+006B,k
U+006C,l
U+006D,m
U+006E,n
U+006F,o
U+0070,p
U+0071,q
U+0072,r
U+0073,s
U+0074,t
U+0075,u
U+0076,v
U+0077,w
U+0078,x
U+0079,y
U+007A,z
U+00AA,ª
U+00B5,µ
U+00BA,º
U+00DF,ß
U+00E0,à
U+00E1,á
U+00E2,â
U+00E3,ã
U+00E4,ä
U+00E5,å
U+00E6,æ
U+00E7,ç
U+00E8,è
U+00E9,é
U+00EA,ê
U+00EB,ë
U+00EC,ì
U+00ED,í
U+00EE,î
U+00EF,ï
U+00F0,ð
U+00F1,ñ
U+00F2,ò
U+00F3,ó
U+00F4,ô
U+00F5,õ
U+00F6,ö
U+00F8,ø
U+00F9,ù
U+00FA,ú
U+00FB,û
U+00FC,ü
U+00FD,ý
U+00FE,þ
U+00FF,ÿ
U+0101,ā
U+0103,ă
U+0105,ą
U+0107,ć
U+0109,ĉ
U+010B,ċ
U+010D,č
U+010F,ď
U+0111,đ
U+0113,ē
U+0115,ĕ
U+0117,ė
U+0119,ę
U+011B,ě
U+011D,ĝ
U+011F,ğ
U+0121,ġ
U+0123,ģ
U+0125,ĥ
U+0127,ħ
U+0129,ĩ
U+012B,ī
U+012D,ĭ
U+012F,į
U+0131,ı
U+0133,ĳ
U+0135,ĵ
U+0137,ķ
U+0138,ĸ
U+013A,ĺ
U+013C,ļ
U+013E,ľ
U+0140,ŀ
U+0142,ł
U+0144,ń
U+0146,ņ
U+0148,ň
U+0149,ŉ
U+014B,ŋ
U+014D,ō
U+014F,ŏ
U+0151,ő
U+0153,œ
U+0155,ŕ
U+0157,ŗ
U+0159,ř
U+015B,ś
U+015D,ŝ
U+015F,ş
U+0161,š
U+0163,ţ
U+0165,ť
U+0167,ŧ
U+0169,ũ
U+016B,ū
U+016D,ŭ
U+016F,ů
U+0171,ű
U+0173,ų
U+0175,ŵ
U+0177,ŷ
U+017A,ź
U+017C,ż
U+017E,ž
U+017F,ſ
U+0180,ƀ
U+0183,ƃ
U+0185,ƅ
U+0188,ƈ
U+018C,ƌ
U+018D,ƍ
U+0192,ƒ
U+0195,ƕ
U+0199,ƙ
U+019A,ƚ
U+019B,ƛ
U+019E,ƞ
U+01A1,ơ
U+01A3,ƣ
U+01A5,ƥ
U+01A8,ƨ
U+01AA,ƪ
U+01AB,ƫ
U+01AD,ƭ
U+01B0,ư
U+01B4,ƴ
U+01B6,ƶ
U+01B9,ƹ
U+01BA,ƺ
U+01BD,ƽ
U+01BE,ƾ
U+01BF,ƿ
U+01C6,ǆ
U+01C9,ǉ
U+01CC,ǌ
U+01CE,ǎ
U+01D0,ǐ
U+01D2,ǒ
U+01D4,ǔ
U+01D6,ǖ
U+01D8,ǘ
U+01DA,ǚ
U+01DC,ǜ
U+01DD,ǝ
U+01DF,ǟ
U+01E1,ǡ
U+01E3,ǣ
U+01E5,ǥ
U+01E7,ǧ
U+01E9,ǩ
U+01EB,ǫ
U+01ED,ǭ
U+01EF,ǯ
U+01F0,ǰ
U+01F3,ǳ
U+01F5,ǵ
U+01F9,ǹ
U+01FB,ǻ
U+01FD,ǽ
U+01FF,ǿ
U+0201,ȁ
U+0203,ȃ
U+0205,ȅ
U+0207,ȇ
U+0209,ȉ
U+020B,ȋ
U+020D,ȍ
U+020F,ȏ
U+0211,ȑ
U+0213,ȓ
U+0215,ȕ
U+0217,ȗ
U+0219,ș
U+021B,ț
U+021D,ȝ
U+021F,ȟ
U+0221,ȡ
U+0223,ȣ
U+0225,ȥ
U+0227,ȧ
U+0229,ȩ
U+022B,ȫ
U+022D,ȭ
U+022F,ȯ
U+0231,ȱ
U+0233,ȳ
U+0234,ȴ
U+0235,ȵ
U+0236,ȶ
U+0237,ȷ
U+0238,ȸ
U+0239,ȹ
U+023C,ȼ
U+023F,ȿ
U+0240,ɀ
U+0242,ɂ
U+0247,ɇ
U+0249,ɉ
U+024B,ɋ
U+024D,ɍ
U+024F,ɏ
