codepoint,char,category
U+0030,0,ASCII Digit
U+0031,1,ASCII Digit
U+0032,2,ASCII Digit
U+0033,3,ASCII Digit
U+0034,4,ASCII Digit
U+0035,5,ASCII Digit
U+0036,6,ASCII Digit
U+0037,7,ASCII Digit
U+0038,8,ASCII Digit
U+0039,9,ASCII Digit
U+00B2,²,Other
U+00B3,³,Other
U+00B9,¹,Other
U+00BC,¼,Other
U+00BD,½,Other
U+00BE,¾,Other
U+0660,٠,Arabic-Indic Digit
U+0661,١,Arabic-Indic Digit
U+0662,٢,Arabic-Indic Digit
U+0663,٣,Arabic-Indic Digit
U+0664,٤,Arabic-Indic Digit
U+0665,٥,Arabic-Indic Digit
U+0666,٦,Arabic-Indic Digit
U+0667,٧,Arabic-Indic Digit
U+0668,٨,Arabic-Indic Digit
U+0669,٩,Arabic-Indic Digit
U+06F0,۰,Extended Arabic-Indic Digit
U+06F1,۱,Extended Arabic-Indic Digit
U+06F2,۲,Extended Arabic-Indic Digit
U+06F3,۳,Extended Arabic-Indic Digit
U+06F4,۴,Extended Arabic-Indic Digit
U+06F5,۵,Extended Arabic-Indic Digit
U+06F6,۶,Extended Arabic-Indic Digit
U+06F7,۷,Extended Arabic-Indic Digit
U+06F8,۸,Extended Arabic-Indic Digit
U+06F9,۹,Extended Arabic-Indic Digit
U+07C0,߀,Other
U+07C1,߁,Other
U+07C2,߂,Other
U+07C3,߃,Other
U+07C4,߄,Other
U+07C5,߅,Other
U+07C6,߆,Other
U+07C7,߇,Other
U+07C8,߈,Other
U+07C9,߉,Other
U+0966,०,Devanagari Digit
U+0967,१,Devanagari Digit
U+0968,२,Devanagari Digit
U+0969,३,Devanagari Digit
U+096A,४,Devanagari Digit
U+096B,५,Devanagari Digit
U+096C,६,Devanagari Digit
U+096D,७,Devanagari Digit
U+096E,८,Devanagari Digit
U+096F,९,Devanagari Digit
U+09E6,০,Bengali Digit
U+09E7,১,Bengali Digit
U+09E8,২,Bengali Digit
U+09E9,৩,Bengali Digit
U+09EA,৪,Bengali Digit
U+09EB,৫,Bengali Digit
U+09EC,৬,Bengali Digit
U+09ED,৭,Bengali Digit
U+09EE,৮,Bengali Digit
U+09EF,৯,Bengali Digit
U+09F4,৴,Other
U+09F5,৵,Other
U+09F6,৶,Other
U+09F7,৷,Other
U+09F8,৸,Other
U+09F9,৹,Other
U+0A66,੦,Gurmukhi Digit
U+0A67,੧,Gurmukhi Digit
U+0A68,੨,Gurmukhi Digit
U+0A69,੩,Gurmukhi Digit
U+0A6A,੪,Gurmukhi Digit
U+0A6B,੫,Gurmukhi Digit
U+0A6C,੬,Gurmukhi Digit
U+0A6D,੭,Gurmukhi Digit
U+0A6E,੮,Gurmukhi Digit
U+0A6F,੯,Gurmukhi Digit
U+0AE6,૦,Gujarati Digit
U+0AE7,૧,Gujarati Digit
U+0AE8,૨,Gujarati Digit
U+0AE9,૩,Gujarati Digit
U+0AEA,૪,Gujarati Digit
U+0AEB,૫,Gujarati Digit
U+0AEC,૬,Gujarati Digit
U+0AED,૭,Gujarati Digit
U+0AEE,૮,Gujarati Digit
U+0AEF,૯,Gujarati Digit
U+0B66,୦,Oriya Digit
U+0B67,୧,Oriya Digit
U+0B68,୨,Oriya Digit
U+0B69,୩,Oriya Digit
U+0B6A,୪,Oriya Digit
U+0B6B,୫,Oriya Digit
U+0B6C,୬,Oriya Digit
U+0B6D,୭,Oriya Digit
U+0B6E,୮,Oriya Digit
U+0B6F,୯,Oriya Digit
U+0B72,୲,Other
U+0B73,୳,Other
U+0B74,୴,Other
U+0B75,୵,Other
U+0B76,୶,Other
U+0B77,୷,Other
U+0BE6,௦,Tamil Digit
U+0BE7,௧,Tamil Digit
U+0BE8,௨,Tamil Digit
U+0BE9,௩,Tamil Digit
U+0BEA,௪,Tamil Digit
U+0BEB,௫,Tamil Digit
U+0BEC,௬,Tamil Digit
U+0BED,௭,Tamil Digit
U+0BEE,௮,Tamil Digit
U+0BEF,௯,Tamil Digit
U+0BF0,௰,Other
U+0BF1,௱,Other
U+0BF2,௲,Other
U+0C66,౦,Telugu Digit
U+0C67,౧,Telugu Digit
U+0C68,౨,Telugu Digit
U+0C69,౩,Telugu Digit
U+0C6A,౪,Telugu Digit
U+0C6B,౫,Telugu Digit
U+0C6C,౬,Telugu Digit
U+0C6D,౭,Telugu Digit
U+0C6E,౮,Telugu Digit
U+0C6F,౯,Telugu Digit
U+0C78,౸,Other
U+0C79,౹,Other
U+0C7A,౺,Other
U+0C7B,౻,Other
U+0C7C,౼,Other
U+0C7D,౽,Other
U+0C7E,౾,Other
U+0CE6,೦,Kannada Digit
U+0CE7,೧,Kannada Digit
U+0CE8,೨,Kannada Digit
U+0CE9,೩,Kannada Digit
U+0CEA,೪,Kannada Digit
U+0CEB,೫,Kannada Digit
U+0CEC,೬,Kannada Digit
U+0CED,೭,Kannada Digit
U+0CEE,೮,Kannada Digit
U+0CEF,೯,Kannada Digit
U+0D58,൘,Other
U+0D59,൙,Other
U+0D5A,൚,Other
U+0D5B,൛,Other
U+0D5C,൜,Other
U+0D5D,൝,Other
U+0D5E,൞,Other
U+0D66,൦,Malayalam Digit
U+0D67,൧,Malayalam Digit
U+0D68,൨,Malayalam Digit
U+0D69,൩,Malayalam Digit
U+0D6A,൪,Malayalam Digit
U+0D6B,൫,Malayalam Digit
U+0D6C,൬,Malayalam Digit
U+0D6D,൭,Malayalam Digit
U+0D6E,൮,Malayalam Digit
U+0D6F,൯,Malayalam Digit
U+0D70,൰,Other
U+0D71,൱,Other
U+0D72,൲,Other
U+0D73,൳,Other
U+0D74,൴,Other
U+0D75,൵,Other
U+0D76,൶,Other
U+0D77,൷,Other
U+0D78,൸,Other
U+0DE6,෦,Other
U+0DE7,෧,Other
U+0DE8,෨,Other
U+0DE9,෩,Other
U+0DEA,෪,Other
U+0DEB,෫,Other
U+0DEC,෬,Other
U+0DED,෭,Other
U+0DEE,෮,Other
U+0DEF,෯,Other
U+0E50,๐,Thai Digit
U+0E51,๑,Thai Digit
U+0E52,๒,Thai Digit
U+0E53,๓,Thai Digit
U+0E54,๔,Thai Digit
U+0E55,๕,Thai Digit
U+0E56,๖,Thai Digit
U+0E57,๗,Thai Digit
U+0E58,๘,Thai Digit
U+0E59,๙,Thai Digit
U+0ED0,໐,Lao Digit
U+0ED1,໑,Lao Digit
U+0ED2,໒,Lao Digit
U+0ED3,໓,Lao Digit
U+0ED4,໔,Lao Digit
U+0ED5,໕,Lao Digit
U+0ED6,໖,Lao Digit
U+0ED7,໗,Lao Digit
U+0ED8,໘,Lao Digit
U+0ED9,໙,Lao Digit
U+0F20,༠,Tibetan Digit
U+0F21,༡,Tibetan Digit
U+0F22,༢,Tibetan Digit
U+0F23,༣,Tibetan Digit
U+0F24,༤,Tibetan Digit
U+0F25,༥,Tibetan Digit
U+0F26,༦,Tibetan Digit
U+0F27,༧,Tibetan Digit
U+0F28,༨,Tibetan Digit
U+0F29,༩,Tibetan Digit
U+0F2A,༪,Other
U+0F2B,༫,Other
U+0F2C,༬,Other
U+0F2D,༭,Other
U+0F2E,༮,Other
U+0F2F,༯,Other
U+0F30,༰,Other
U+0F31,༱,Other
U+0F32,༲,Other
U+0F33,༳,Other
U+1040,၀,Myanmar Digit
U+1041,၁,Myanmar Digit
U+1042,၂,Myanmar Digit
U+1043,၃,Myanmar Digit
U+1044,၄,Myanmar Digit
U+1045,၅,Myanmar Digit
U+1046,၆,Myanmar Digit
U+1047,၇,Myanmar Digit
U+1048,၈,Myanmar Digit
U+1049,၉,Myanmar Digit
U+1090,႐,Other
U+1091,႑,Other
U+1092,႒,Other
U+1093,႓,Other
U+1094,႔,Other
U+1095,႕,Other
U+1096,႖,Other
U+1097,႗,Other
U+1098,႘,Other
U+1099,႙,Other
U+1369,፩,Other
U+136A,፪,Other
U+136B,፫,Other
U+136C,፬,Other
U+136D,፭,Other
U+136E,፮,Other
U+136F,፯,Other
U+1370,፰,Other
U+1371,፱,Other
U+1372,፲,Other
U+1373,፳,Other
U+1374,፴,Other
U+1375,፵,Other
U+1376,፶,Other
U+1377,፷,Other
U+1378,፸,Other
U+1379,፹,Other
U+137A,፺,Other
U+137B,፻,Other
U+137C,፼,Other
U+16EE,ᛮ,Other
U+16EF,ᛯ,Other
U+16F0,ᛰ,Other
U+17E0,០,Khmer Digit
U+17E1,១,Khmer Digit
U+17E2,២,Khmer Digit
U+17E3,៣,Khmer Digit
U+17E4,៤,Khmer Digit
U+17E5,៥,Khmer Digit
U+17E6,៦,Khmer Digit
U+17E7,៧,Khmer Digit
U+17E8,៨,Khmer Digit
U+17E9,៩,Khmer Digit
U+17F0,៰,Other
U+17F1,៱,Other
U+17F2,៲,Other
U+17F3,៳,Other
U+17F4,៴,Other
U+17F5,៵,Other
U+17F6,៶,Other
U+17F7,៷,Other
U+17F8,៸,Other
U+17F9,៹,Other
U+1810,᠐,Mongolian Digit
U+1811,᠑,Mongolian Digit
U+1812,᠒,Mongolian Digit
U+1813,᠓,Mongolian Digit
U+1814,᠔,Mongolian Digit
U+1815,᠕,Mongolian Digit
U+1816,᠖,Mongolian Digit
U+1817,᠗,Mongolian Digit
U+1818,᠘,Mongolian Digit
U+1819,᠙,Mongolian Digit
U+1946,᥆,Limbu Digit
U+1947,᥇,Limbu Digit
U+1948,᥈,Limbu Digit
U+1949,᥉,Limbu Digit
U+194A,᥊,Limbu Digit
U+194B,᥋,Limbu Digit
U+194C,᥌,Limbu Digit
U+194D,᥍,Limbu Digit
U+194E,᥎,Limbu Digit
U+194F,᥏,Limbu Digit
U+19D0,᧐,New Tai Lue Digit
U+19D1,᧑,New Tai Lue Digit
U+19D2,᧒,New Tai Lue Digit
U+19D3,᧓,New Tai Lue Digit
U+19D4,᧔,New Tai Lue Digit
U+19D5,᧕,New Tai Lue Digit
U+19D6,᧖,New Tai Lue Digit
